       2       4   4.125    4.25   4.375     4.5   4.625    4.75   4.875       5
     1.5       3   3.125    3.25   3.375     3.5   3.625    3.75   3.875       4
       1       2   2.125    2.25   2.375     2.5   2.625    2.75   2.875       3
     0.5       1   1.125    1.25   1.375     1.5   1.625    1.75   1.875       2
       0       0   0.125    0.25   0.375     0.5   0.625    0.75   0.875       1
    -0.5      -1  -0.875   -0.75  -0.625    -0.5  -0.375   -0.25  -0.125       0
      -1      -2  -1.875   -1.75  -1.625    -1.5  -1.375   -1.25  -1.125      -1
    -1.5      -3  -2.875   -2.75  -2.625    -2.5  -2.375   -2.25  -2.125      -2
      -2      -4  -3.875   -3.75  -3.625    -3.5  -3.375   -3.25  -3.125      -3
               0    0.25     0.5    0.75       1    1.25     1.5    1.75       2
